EXP,CP,PBL,MP
EXP01,MIT,Holtslag,SUBEX
EXP02,MIT,Holtslag,WSM5
EXP03,MIT,Holtslag,NT
EXP04,MIT,UW,SUBEX
EXP05,MIT,UW,WSM5
EXP06,MIT,UW,NT
EXP07,MIT,GFS2011,SUBEX
EXP08,MIT,GFS2011,WSM5
EXP09,MIT,GFS2011,NT
EXP10,MIT,MYJ,SUBEX
EXP11,MIT,MYJ,WSM5
EXP12,MIT,MYJ,NT
EXP13,Tiedtke,Holtslag,SUBEX
EXP14,Tiedtke,Holtslag,WSM5
EXP15,Tiedtke,Holtslag,NT
EXP16,Tiedtke,UW,SUBEX
EXP17,Tiedtke,UW,WSM5
EXP18,Tiedtke,UW,NT
EXP19,Tiedtke,GFS2011,SUBEX
EXP20,Tiedtke,GFS2011,WSM5
EXP21,Tiedtke,GFS2011,NT
EXP22,Tiedtke,MYJ,SUBEX
EXP23,Tiedtke,MYJ,WSM5
EXP24,Tiedtke,MYJ,NT
EXP25,Kain-Fritsch,Holtslag,SUBEX
EXP26,Kain-Fritsch,Holtslag,WSM5
EXP27,Kain-Fritsch,Holtslag,NT
EXP28,Kain-Fritsch,UW,SUBEX
EXP29,Kain-Fritsch,UW,WSM5
EXP30,Kain-Fritsch,UW,NT
EXP31,Kain-Fritsch,GFS2011,SUBEX
EXP32,Kain-Fritsch,GFS2011,WSM5
EXP33,Kain-Fritsch,GFS2011,NT
EXP34,Kain-Fritsch,MYJ,SUBEX
EXP35,Kain-Fritsch,MYJ,WSM5
EXP36,Kain-Fritsch,MYJ,NT
EXP37,Grell,Holtslag,SUBEX
EXP38,Grell,Holtslag,WSM5
EXP39,Grell,Holtslag,NT
EXP40,Grell,UW,SUBEX
EXP41,Grell,UW,WSM5
EXP42,Grell,UW,NT
EXP43,Grell,GFS2011,SUBEX
EXP44,Grell,GFS2011,WSM5
EXP45,Grell,GFS2011,NT
EXP46,Grell,MYJ,SUBEX
EXP47,Grell,MYJ,WSM5
EXP48,Grell,MYJ,NT
ERA5,NA,NA,NA
