METRICS,R-TCC,R-TCD,R-TCI-TD,R-TCI-TS,R-TCI-1,R-TCI-2,R-TCI-3,R-TCI-4,R-TCI-5,R-AVE,MB-TCC,MB-TCD,MB-TCI-TD,MB-TCI-TS,MB-TCI-1,MB-TCI-2,MB-TCI-3,MB-TCI-4,MB-TCI-5,MB-AVE,SCorr-TCTD,OPEI
ERA5,0.592396677,0.320103004,0.027322208,0.664495988,0,0,0,0,0,0.178257542,0.611510791,0.323011078,0.095263964,0.851337888,0,0,0,0.077479636,0,0.217622595,0.727782,0.450035964
EXP01,0.542161077,0.29881387,0.002479236,0.110284721,0,0,0,0.198133844,0,0.127985861,0.582733813,0.306898288,0,0.137129908,0.151040891,0,0,0.364365633,0,0.171352059,0.732132,0.255936439
EXP02,0.460431655,0.220677425,0.002479236,0.065249179,0,0,0,0.13946836,0,0.09870065,0.489208633,0.2306143,0,0.106760267,0.354024367,0.038433606,0,0.443736925,0,0.184753122,0.652632,0.189700934
EXP03,0.068074537,0.021291606,0.002479236,0.063195157,0.175672882,0.055916975,0,0,0,0.042958933,0.079136691,0.028700906,0,0.085016701,0.322719384,0.476258633,0,0,0,0.110203591,0.309424,0.023347185
EXP04,0.563575514,0.290160345,0.002479236,0.182226037,0,0,0.13465337,0.382641274,0,0.172859531,0.597122302,0.300855992,0,0.215002425,0.143820914,0,0.1,0.744422688,0,0.233469369,0.685451,0.440954314
EXP05,0.632811506,0.293834022,0.002479236,0.059451837,0,0,0,0.522090863,0.001342944,0.168001157,0.661870504,0.300855992,0,0.080205125,0,0,0,0.651988723,0.04665216,0.193508056,0.681814,0.353321699
EXP06,0.672286562,0.293834022,0.002479236,0.192173568,0,0,0,0.377539107,0,0.170923611,0.705035971,0.300855992,0,0.241347174,0,0,0,0.48744071,0.048526221,0.198134008,0.669132,0.361215228
EXP07,0.677460262,0.367735595,0.002479236,0.358124958,0,0,0.158681854,0.484286429,0.017143829,0.229545796,0.712230216,0.379657603,0,0.409541932,0,0,0,0.742631678,0.048924958,0.254776265,0.732221,0.682599039
EXP08,0.635286565,0.342624965,0.002479236,0.132244288,0,0,0,0.403046581,0.118568739,0.181583375,0.683453237,0.349949648,0,0.211535529,0,0,0,0.593751799,0.198776746,0.226385218,0.711978,0.466535673
EXP09,0.24546126,0.096990056,0.508225993,0.028182902,0.504537233,0.049986465,0,0,0,0.159264879,0.251798561,0.10448137,0.924288018,0.058360937,0.826929243,0.174160931,0,0,0,0.260002118,0.120162,0.07931257
EXP11,0.001579841,0.006069513,0.002479236,0.018070092,0,0,0,0,0,0.003133187,0.007194245,0.002014099,0,0.029180469,0,0,0,0,0,0.004265424,0.0166905,0.00E+00
EXP13,0.380500761,0.212187415,0.002479236,0.106160209,0.466871702,0,0,0.203515875,0,0.1524128,0.402877698,0.21550856,0,0.140569361,0.826105127,0,0,0.324053783,0,0.212123837,0.612395,0.315598624
EXP14,0.143159729,0.070795557,0.002479236,0.109994177,0.372219278,0,0.34012198,0,0,0.115418884,0.158273381,0.076283988,0,0.134074649,0.733051625,0.466664267,0.421408313,0,0,0.221084025,0.395319,0.160793971
EXP15,0.096842888,0.039045885,0.002479236,0,0.299274119,0.274637015,0,0,0,0.079142127,0.107913669,0.04632427,0,0,0.730350652,0.63668785,0,0,0,0.169030716,0.316312,0.067447144
EXP16,0.464765607,0.26131712,0.002479236,0.163139432,0.496427724,0,0,0.595780694,0.047373424,0.225698138,0.517985612,0.268882175,0,0.223354077,0.993108796,0,0,0.696396987,0.095304648,0.310559144,0.643467,0.718942027
EXP17,0.271283035,0.148876843,0.002479236,0.025413901,0.23319761,0.340616519,0.469249679,0.272858818,0,0.195997294,0.294964029,0.155589124,0,0.053649984,0.981123275,0.82418816,0.999835702,0.405760293,0,0.412790063,0.570734,0.736051835
