METRICS,TCC,TCD,TCI-TD,TCI-TS,TCI-1,TCI-2,TCI-3,TCI-4,TCI-5,AVE
ERA5,0.611510791,0.323011078,0.095263964,0.851337888,0,0,0,0.077479636,0,0.217622595
EXP01,0.582733813,0.306898288,0,0.137129908,0.151040891,0,0,0.364365633,0,0.171352059
EXP02,0.489208633,0.2306143,0,0.106760267,0.354024367,0.038433606,0,0.443736925,0,0.184753122
EXP03,0.079136691,0.028700906,0,0.085016701,0.322719384,0.476258633,0,0,0,0.110203591
EXP04,0.597122302,0.300855992,0,0.215002425,0.143820914,0,0.1,0.744422688,0,0.233469369
EXP05,0.661870504,0.300855992,0,0.080205125,0,0,0,0.651988723,0.04665216,0.193508056
EXP06,0.705035971,0.300855992,0,0.241347174,0,0,0,0.48744071,0.048526221,0.198134008
EXP07,0.712230216,0.379657603,0,0.409541932,0,0,0,0.742631678,0.048924958,0.254776265
EXP08,0.683453237,0.349949648,0,0.211535529,0,0,0,0.593751799,0.198776746,0.226385218
EXP09,0.251798561,0.10448137,0.924288018,0.058360937,0.826929243,0.174160931,0,0,0,0.260002118
EXP11,0.007194245,0.002014099,0,0.029180469,0,0,0,0,0,0.004265424
EXP13,0.402877698,0.21550856,0,0.140569361,0.826105127,0,0,0.324053783,0,0.212123837
EXP14,0.158273381,0.076283988,0,0.134074649,0.733051625,0.466664267,0.421408313,0,0,0.221084025
EXP15,0.107913669,0.04632427,0,0,0.730350652,0.63668785,0,0,0,0.169030716
EXP16,0.517985612,0.268882175,0,0.223354077,0.993108796,0,0,0.696396987,0.095304648,0.310559144
EXP17,0.294964029,0.155589124,0,0.053649984,0.981123275,0.82418816,0.999835702,0.405760293,0,0.412790063
EXP18,0.45323741,0.190584089,0,0.086553478,0.783353231,0,0,0.236959314,0,0.194520836
EXP19,0.726618705,0.425478348,0,0.459304236,0.32424868,0,0,0.744536381,0.19422589,0.319379138
EXP20,0.215827338,0.110775428,0.044787338,0.108379371,0.607803833,0.858377418,0.992739909,0.079478292,0,0.335352103
EXP21,0.446043165,0.20795569,0,0.08436723,0.623229144,0.322035438,0,0,0,0.187070074
EXP25,0.683453237,0.373111782,0,0.271158819,0,0,0.177083047,0.200267704,0,0.189452732
EXP26,0.705035971,0.377391742,0,0.250540394,0,0,0,0.321411987,0,0.183820011
EXP27,0.28057554,0.118328298,0,0.114435004,0.947268167,0.365605061,0.99961972,0.158736062,0,0.33161865
EXP28,0.008,0.885951662,0,0.795602278,0,0,0,0.812172881,0.049536353,0.283473686
EXP29,0.510791367,0.797331319,0,0.560493686,0,0,0,0.584945917,0.046499311,0.277784622
EXP30,0.009,0.893504532,0,0.815681001,0,0,0,0.820737518,0.095942626,0.292762853
EXP31,0.352517986,0.898539778,0,0.436792282,0,0,0,0.85506782,0.294048166,0.315218448
EXP32,0.532374101,0.749496475,0,0.618232595,0,0,0,0.571228042,0.151838825,0.291463338
EXP33,0.395683453,0.168429003,0.322924384,0.070298402,0.806899629,0.309480728,0,0.043129765,0,0.23520504
EXP37,0.956834532,0.495468278,0,0.054948926,0,0,0,0.693670393,0.046805009,0.24974746
EXP38,0.618705036,0.286253776,0,0.084394672,0,0,0,0.292521828,0,0.14243059
EXP39,0.050359712,0.020140987,0,0,0.417007093,0.162462224,0,0,0,0.072218891
EXP40,0.949640288,0.525176234,0,0.128375767,0,0,0,0.900121856,0.348940878,0.316917225
EXP41,0.73381295,0.342900302,0,0.138273343,0,0,0,0.655726375,0.190077647,0.228976735
EXP42,0.45323741,0.16490433,0,0.111416335,0.476154849,0.568727425,0,0.475484137,0,0.24999161
EXP43,0.942446043,0.58509567,0,0.112349378,0.01,0,0,0.950531237,0.345225984,0.327294257
EXP44,0.877697842,0.39224572,0,0.162038502,0.01,0,0,0.904891255,0.149898308,0.27741907
EXP45,0.294964029,0.130664653,0.66997094,0.028494408,0.593811768,0.309338061,0.135123878,0,0,0.240263082
EXP47,0.007194245,0.002265861,0,0,0.066198053,0,0,0,0,0.008406462
