METRICS,OPEI
ERA5,0.450035964
EXP01,0.255936439
EXP02,0.189700934
EXP03,0.023347185
EXP04,0.440954314
EXP05,0.353321699
EXP06,0.361215228
EXP07,0.682599039
EXP08,0.466535673
EXP09,0.07931257
EXP11,0.00E+00
EXP13,0.315598624
EXP14,0.160793971
EXP15,0.067447144
EXP16,0.718942027
EXP17,0.736051835
EXP18,0.184601546
EXP19,0.901487152
EXP20,0.386857065
EXP21,0.006012866
EXP25,0.255296124
EXP26,0.28884137
EXP27,0.329332963
EXP28,0.668634711
EXP29,0.812161663
EXP30,0.657555285
EXP31,0.932410706
EXP32,0.74514074
EXP33,0.024243021
EXP37,0.567259797
EXP38,0.18376977
EXP39,0.012536277
EXP40,0.727588302
EXP41,0.425946154
EXP42,0.29396806
EXP43,1
EXP44,0.617966465
EXP45,0.028708847
EXP47,4.16E-06
