METRICS,TCC,TCD,TCI-TD,TCI-TS,TCI-1,TCI-2,TCI-3,TCI-4,TCI-5,AVE
ERA5,0.592396677,0.320103004,0.027322208,0.664495988,0,0,0,0,0,0.178257542
EXP01,0.542161077,0.29881387,0.002479236,0.110284721,0,0,0,0.198133844,0,0.127985861
EXP02,0.460431655,0.220677425,0.002479236,0.065249179,0,0,0,0.13946836,0,0.09870065
EXP03,0.068074537,0.021291606,0.002479236,0.063195157,0.175672882,0.055916975,0,0,0,0.042958933
EXP04,0.563575514,0.290160345,0.002479236,0.182226037,0,0,0.13465337,0.382641274,0,0.172859531
EXP05,0.632811506,0.293834022,0.002479236,0.059451837,0,0,0,0.522090863,0.001342944,0.168001157
EXP06,0.672286562,0.293834022,0.002479236,0.192173568,0,0,0,0.377539107,0,0.170923611
EXP07,0.677460262,0.367735595,0.002479236,0.358124958,0,0,0.158681854,0.484286429,0.017143829,0.229545796
EXP08,0.635286565,0.342624965,0.002479236,0.132244288,0,0,0,0.403046581,0.118568739,0.181583375
EXP09,0.24546126,0.096990056,0.508225993,0.028182902,0.504537233,0.049986465,0,0,0,0.159264879
EXP11,0.001579841,0.006069513,0.002479236,0.018070092,0,0,0,0,0,0.003133187
EXP13,0.380500761,0.212187415,0.002479236,0.106160209,0.466871702,0,0,0.203515875,0,0.1524128
EXP14,0.143159729,0.070795557,0.002479236,0.109994177,0.372219278,0,0.34012198,0,0,0.115418884
EXP15,0.096842888,0.039045885,0.002479236,0,0.299274119,0.274637015,0,0,0,0.079142127
EXP16,0.464765607,0.26131712,0.002479236,0.163139432,0.496427724,0,0,0.595780694,0.047373424,0.225698138
EXP17,0.271283035,0.148876843,0.002479236,0.025413901,0.23319761,0.340616519,0.469249679,0.272858818,0,0.195997294
EXP18,0.415536805,0.185434837,0.002479236,0.04706041,0.26878796,0,0,0.061724879,0,0.109002681
EXP19,0.671104188,0.4093691,0.002479236,0.382453783,0,0,0,0.5069617,0.174091104,0.238495457
EXP20,0.198075654,0.1051462,0.078905271,0.065126407,0.305402647,0.23,0.422578366,0,0,0.156137172
EXP21,0.397871381,0.195529313,0,0.046272236,0.202020317,0.113241242,0,0,0,0.106103832
EXP25,0.386166072,0.288232209,0.002479236,0.223575362,0,0,0.360749823,0,0,0.140133634
EXP26,0.63351696,0.366596032,0.002479236,0.227843339,0,0,0,0.178823807,0,0.156584375
EXP27,0.25965665,0.114716487,0.002479236,0.082490342,0.445947656,0,0.361512643,0,0,0.14075589
EXP28,0,0.827432574,0.002479236,0.618792692,0,0,0,0.681915423,0.004231859,0.237205754
EXP29,0.484719293,0.761012025,0.002479236,0.493292424,0,0,0,0.52946704,0.014004026,0.253886005
EXP30,0,0.806073534,0.002479236,0.654255516,0,0,0,0.563676526,0.034914912,0.229044414
EXP31,0.337504205,0.833830183,0.002479236,0.337564885,0,0,0,0.700926504,0.186811678,0.266568521
EXP32,0.486480081,0.710439929,0.002479236,0.427592409,0,0,0,0.344515748,0.085772399,0.228586645
EXP33,0.395512186,0.161631231,0.224543231,0.062352535,0.013044953,0,0,0,0,0.095231571
EXP37,0.831280009,0.475592288,0.002479236,0.039255317,0,0,0,0.50773584,0,0.206260299
EXP38,0.562095603,0.274782213,0.002479236,0.072052405,0,0,0,0.184792876,0,0.121800259
EXP39,0.042057222,0.011795146,0.002479236,0,0.368045512,0.049089976,0,0,0,0.052607455
EXP40,0.670711007,0.489909997,0.002479236,0.09215574,0,0,0,0.296985478,0.261479873,0.201524592
EXP41,0.63000314,0.324200292,0.002479236,0.097472905,0,0,0,0.433511915,0.094278683,0.175771797
EXP42,0.431700211,0.159137729,0.002479236,0.101996197,0.163083266,0.234768643,0,0.227665703,0,0.146758998
EXP43,0.852561859,0.576358715,0.002479236,0.084462215,0.008,0,0,0.66733877,0.289630723,0.275647946
EXP44,0.799720706,0.379314182,0.002479236,0.132975415,0.006,0,0,0.556251492,0.083874162,0.217846132
EXP45,0.28273706,0.12274336,0.150972071,0.005070612,0.128817498,0.248477363,0.382956404,0,0,0.146863819
EXP47,1.00E-04,0.00605266,0.002479236,0,0,0,0,0,0,0.0009591
